month,op,jobs,water_mgal
2012-01,ANADARKO PETROLEUM CORPORATION,137,31.6329693
2012-01,ANSCHUTZ EXPLORATION CORPORATION,1,0.0
2012-01,APACHE CORPORATION,62,3.546241
2012-01,ATHLON ENERGY OPERATING LLC,2,3.062741
2012-01,"ATLAS ENERGY, L.P.",3,0.0
2012-01,BHP BILLITON PETROLEUM,27,13.165908
2012-01,BILL BARRETT CORP,27,12.972487000000001
2012-01,"BLUESTEM ENERGY HOLDINGS, LLC",1,1.241058
2012-01,BP AMERICA PRODUCTION COMPANY,21,0.0
2012-01,CABOT OIL & GAS CORP,8,0.0
2012-01,"CARRIZO OIL & GAS, INC.",14,0.0
2012-01,"CHAPARRAL ENERGY, LLC",3,0.0
2012-01,"CHESAPEAKE OPERATING, INC.",153,7.364153999999999
2012-01,CHEVRON USA INC.,39,0.0
2012-01,CHEYENNE PETROLEUM COMPANY,2,0.0
2012-01,CHIEF OIL & GAS,1,0.0
2012-01,COBRA OIL & GAS CORPORATION,1,1.151585
2012-01,COG OPERATING LLC,4,2.392866
2012-01,COMSTOCK OIL & GAS,8,0.0
2012-01,CONOCOPHILLIPS COMPANY/BURLINGTON RESOURCES,38,0.0
2012-01,"CONTINENTAL RESOURCES, INC",29,0.0
2012-01,"DENBURY ONSHORE, LLC",3,4.720934
2012-01,DEVON ENERGY PRODUCTION COMPANY L. P.,78,35.427767
2012-01,EL PASO E&P COMPANY,15,0.0
2012-01,ENCANA OIL & GAS (USA) INC.,55,12.756492
2012-01,ENERGEN RESOURCES CORPORATION,33,0.0
2012-01,ENERGY CORPORATION OF AMERICA,1,3.603852
2012-01,"ENERVEST, LTD.",12,0.0
2012-01,"EOG RESOURCES, INC.",79,18.626948
2012-01,EQT PRODUCTION,9,20.512666000000003
2012-01,"EXCO RESOURCES, INC.",14,0.0
2012-01,"FASKEN OIL AND RANCH, LTD.",1,0.0
2012-01,"FIML NATURAL RESOURCES, LLC",11,0.0
2012-01,FOREST OIL CORPORATION,1,0.0
2012-01,"G3 OPERATING, LLC.",2,0.0
2012-01,"GOODRICH PETROLEUM COMPANY, LLC",3,0.0
2012-01,"GREAT PLAINS OPERATING, LLC",1,3.414558
2012-01,HALCON RESOURCES CORPORATION,1,2.104032
2012-01,HESS CORPORATION,29,15.383639
2012-01,HIGHMOUNT EXPLORATION & PRODUCTION,5,0.0
2012-01,HUNT MARCELLUS OPERATING COMPANY,2,0.0
2012-01,HUNT OIL COMPANY,1,0.0
2012-01,INDIGO MINERALS,1,0.0
2012-01,J CLEO THOMPSON,2,0.83475
2012-01,KODIAK OIL & GAS CORP,4,3.435646
2012-01,LAREDO ENERGY,1,6.611766
2012-01,"LAREDO PETROLEUM, INC.",12,0.0
2012-01,"LECLAIR OPERATING CO., INC.",1,0.0
2012-01,"LEGEND NATURAL GAS, LLC",1,0.0
2012-01,LENORMAN OPERATING LLC,1,0.0
2012-01,"LINN ENERGY, LLC",5,17.114835
2012-01,MARATHON OIL,30,0.0
2012-01,MATADOR PRODUCTION COMPANY,1,5.327219
2012-01,MEWBOURNE OIL COMPANY,2,0.0
