month,ticker,jobs,water_mgal
2012-01,APA,62,3.546241
2012-01,CHK,153,7.364153999999999
2012-01,CLR,29,0.0
2012-01,COP,76,0.0
2012-01,CRK,8,0.0
2012-01,CVX,39,0.0
2012-01,CXO,4,2.392866
2012-01,DVN,78,35.427767
2012-01,EOG,79,18.626948
2012-01,EQT,9,20.512666000000003
2012-01,HES,29,15.383639
2012-01,MRO,30,0.0
2012-01,MTDR,1,5.327219
2012-01,MUR,1,0.0
2012-01,OXY,81,4.149781
2012-01,PDCE,1,0.0
2012-01,PXD,97,16.066761
2012-01,RRC,33,13.225519
2012-01,SM,7,0.02696
2012-01,SWN,60,2.536383
2012-01,XOM,115,3.972444
2012-02,APA,65,1.9121759999999999
2012-02,CHK,135,0.0
2012-02,CLR,26,0.0
2012-02,COP,68,0.20045
2012-02,CPE,1,1.032612
2012-02,CRK,6,0.0
2012-02,CVX,32,0.0
2012-02,CXO,32,0.0
2012-02,DVN,75,28.220261
2012-02,EOG,79,97.621545
2012-02,EQT,7,8.405261
2012-02,HES,27,14.192536
2012-02,MRO,32,0.0
2012-02,MTDR,1,2.98179
2012-02,MUR,4,0.0
2012-02,OXY,79,3.164841
2012-02,PDCE,1,0.0
2012-02,PXD,93,19.804386
2012-02,RRC,22,5.316065999999999
2012-02,SM,12,0.0
2012-02,SWN,51,0.0
2012-02,XEC,8,0.0
2012-02,XOM,86,16.989592000000002
2012-03,APA,70,2.52424
2012-03,CHK,140,8.0178
2012-03,CLR,29,0.0
2012-03,COP,66,0.627108
2012-03,CRK,11,0.0
2012-03,CVX,27,0.0
2012-03,CXO,28,1.145844
2012-03,DVN,58,81.740787
2012-03,EOG,105,43.051092999999995
2012-03,EQT,7,10.701412999999999
2012-03,HES,27,28.375387642
2012-03,MRO,27,0.0
2012-03,MTDR,2,0.0
2012-03,MUR,8,0.0
2012-03,OXY,92,2.0447550000000003
2012-03,PDCE,2,0.0
2012-03,PXD,99,36.404147
2012-03,RRC,19,7.064819999999999
2012-03,SM,13,0.0
2012-03,SWN,64,7.603184
2012-03,XEC,8,0.0
2012-03,XOM,99,51.739968000000005
2012-04,APA,70,0.0
2012-04,CHK,133,8.144766
2012-04,CLR,24,1.943046
2012-04,COP,70,1.305766
2012-04,CPE,1,1.262787
2012-04,CRK,5,0.0
2012-04,CVX,28,0.0
2012-04,CXO,31,4.365648
2012-04,DVN,67,40.916283
2012-04,EOG,83,24.201389
2012-04,EQT,9,31.302872
2012-04,FANG,1,1.117326
2012-04,HES,28,14.127216
2012-04,MRO,32,0.0
2012-04,MTDR,1,0.0
2012-04,MUR,8,0.0
2012-04,OXY,87,3.1013870000000003
2012-04,PDCE,12,1.9552900000000002
2012-04,PXD,81,35.069583
2012-04,RRC,27,12.509485999999999
2012-04,SM,15,0.0
2012-04,SWN,46,0.0
2012-04,XEC,14,0.0
2012-04,XOM,96,48.812652
2012-05,APA,74,0.978614
2012-05,CHK,145,10.71042
2012-05,CLR,32,3.328363
2012-05,COP,74,13.146486
2012-05,CPE,1,1.126146
2012-05,CRK,5,0.0
2012-05,CVX,32,0.0
2012-05,CXO,39,7.001852
2012-05,DVN,77,58.747253
2012-05,EOG,99,43.836127
2012-05,EQT,11,26.717396
2012-05,HES,37,9.863752
2012-05,MRO,44,0.107394
2012-05,MTDR,2,0.0
2012-05,MUR,7,0.0
2012-05,OXY,89,7.414522
2012-05,PDCE,12,3.460441
2012-05,PXD,78,59.684802
2012-05,RRC,24,2.690123
2012-05,SM,15,0.850962
2012-05,SWN,57,11.811715999999999
2012-05,XEC,17,0.0
2012-05,XOM,90,35.255430000000004
2012-06,APA,76,0.601902
2012-06,CHK,158,12.552456
2012-06,CLR,27,0.0
2012-06,COP,86,16.093868
2012-06,CPE,1,9.110023
2012-06,CRK,7,0.0
2012-06,CVX,53,8.042563
2012-06,CXO,34,7.314258
2012-06,DVN,102,86.3855036
2012-06,EOG,80,43.200274
2012-06,EQT,10,49.01691
2012-06,HES,25,10.533746
2012-06,MRO,37,0.0
2012-06,MTDR,3,5.902847
2012-06,MUR,9,0.0
2012-06,OXY,100,11.718615999999999
2012-06,PDCE,9,1.089149
2012-06,PXD,71,65.085756
2012-06,RRC,25,0.0
2012-06,SM,14,0.0
2012-06,SWN,49,4.094921
2012-06,XEC,13,0.0
2012-06,XOM,95,32.653488
2012-07,APA,64,0.0
2012-07,CHK,136,30.261168
2012-07,CLR,17,11.68533
2012-07,COP,78,29.578044
2012-07,CRK,4,0.0
2012-07,CVX,34,0.0
2012-07,CXO,36,8.01447
2012-07,DVN,78,88.445747
2012-07,EOG,85,46.68347
2012-07,EQT,7,33.176305
2012-07,HES,32,0.150555
2012-07,MRO,38,0.0
2012-07,MTDR,3,0.0
2012-07,MUR,11,8.89744
2012-07,OXY,99,2.521487
2012-07,PDCE,10,4.206038
2012-07,PXD,55,50.22932
2012-07,RRC,27,6.885387
2012-07,SM,17,18.269586
2012-07,SWN,30,10.153007
2012-07,XEC,11,0.0
2012-07,XOM,88,9.977845
2012-08,APA,81,2.622511
2012-08,CHK,146,77.425492
2012-08,CLR,19,11.567145
2012-08,COP,100,98.420622
2012-08,CRK,7,0.0
2012-08,CVX,35,3.0329130411687077
2012-08,CXO,42,18.26803297072425
2012-08,DVN,83,152.541486
2012-08,EOG,79,19.038712999999998
2012-08,EQT,7,56.407804999999996
2012-08,FANG,1,1.336692
2012-08,HES,20,9.28957
2012-08,MRO,48,0.0
2012-08,MTDR,2,0.0
2012-08,MUR,9,0.0
2012-08,OXY,85,10.5130816
2012-08,PDCE,8,3.616597
2012-08,PXD,64,77.15067272530764
2012-08,RRC,32,19.80249
2012-08,SM,14,7.524972
2012-08,SWN,39,6.158392
2012-08,XEC,16,0.0
2012-08,XOM,66,63.243443
2012-09,APA,71,7.329445000000001
2012-09,CHK,113,140.381514
2012-09,CLR,18,9.642938
